"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Bin.9.62"," 0.8173470","-0.1707171"," 0.5941729"," 0.8213789"," 0.5890722","-2.6681767"," 0.5828882","-3.1800834"," 0.7153191"," 0.3605549","-2.6646690"," 0.3735016","-2.6570614","-0.1558902"," 0.3614934"," 0.7219091"," 0.5866528"," 0.5947619"," 0.5969053"," 0.3504306","-0.1688144"," 0.3488042"," 0.7055271","-0.1528333"," 0.7305069"," 0.5967691"," 0.7287081"," 1.3065115"," 1.2669190"," 0.3708309"," 0.3760398"," 0.3720626","-3.2715578"," 1.0040402"," 0.5855615"," 0.8205161","-3.0422994"," 0.5908811"," 1.0065412"," 0.8237537"," 0.3661527"," 0.4082377"," 1.0045483"," 0.8224001"," 0.8210377","-2.6742941"," 0.7052627","-3.2282788","-0.1400414"," 0.3467171"
"Bin.9.58"," 0.73118577"," 0.50367165"," 0.73360004"," 0.02193538"," 0.72874466","-2.37185409"," 0.50801937"," 0.50130403"," 0.72323869"," 0.01300768","-2.58335400"," 0.52354151","-2.70179237"," 0.01960958","-2.37108699"," 0.72951166"," 0.51160245"," 0.85984237"," 0.73620107"," 0.84209895"," 0.50549113"," 0.50003182"," 0.49908046"," 0.52076978"," 0.52285503"," 0.86175300"," 1.02000805"," 1.33377842"," 1.25784532"," 0.52099919","-2.72545667"," 0.02391561","-3.18588838"," 1.20165747"," 0.51056381"," 0.51936211","-2.60230241"," 0.73046659"," 1.07835328"," 1.02130875"," 1.16110043"," 0.98630805"," 1.01994085","-2.72065358"," 1.01872332","-2.80737290"," 0.49882880","-2.96153472"," 0.53299489"," 0.49804509"
"Bin.9.54"," 0.8576447"," 0.1538374"," 0.8599862"," 0.8613668"," 0.8552772","-2.3601863"," 0.8495681","-2.3489599"," 0.8499373"," 0.6443093"," 0.1595020"," 0.6562618","-2.1415636","-2.3650070","-2.1510813"," 0.1644587"," 0.1614945"," 1.0689066"," 0.8625088"," 1.0516981"," 0.1555939","-2.1393666"," 0.6325384"," 0.6535737"," 0.8639584"," 1.0707597"," 1.1377578"," 1.6281689"," 1.2325428","-2.4899556"," 0.1753587"," 0.1717018","-2.9413130","-2.8515099"," 0.6436754"," 0.6522084","-2.1669616"," 0.6485858"," 1.1395324"," 1.1938304","-2.9487388"," 0.8966963"," 1.4472272"," 0.6539475"," 1.1913230"," 0.6515673"," 1.1709237","-2.6689133"," 0.8737937"," 0.6315342"
"Bin.9.50","-0.2026779"," 0.3077311"," 0.6815416"," 0.5509239"," 0.5443236"," 0.3174085"," 0.3123013","-3.0607485"," 0.5385358","-0.2080457"," 0.3138986"," 0.5544545","-2.9296789","-2.9460277","-0.2071107"," 0.5451299"," 0.3160678"," 0.5500169"," 0.5521616","-0.2181305","-2.7072028","-2.7014641"," 0.5287380"," 0.5515405"," 0.6858470"," 0.8505866"," 0.8504942"," 1.3124417"," 1.1005043"," 0.9097509","-0.1926158"," 0.8515756"," 0.6953128"," 0.3255177","-0.2087297"," 0.6821747","-2.7313733"," 0.3202982"," 1.0055645"," 0.9112694"," 1.1309257"," 0.5892163"," 1.2854236","-2.7236686"," 0.9587804"," 0.6814798"," 0.7543246","-3.3850576"," 0.6965074"," 0.6597630"
"Bin.9.46","-0.02068470","-0.62870671"," 0.38748282"," 0.23958897"," 0.23211566"," 0.23089277"," 0.56315927"," 0.21711549"," 0.48128629","-0.02678873"," 0.48264206","-0.01212040"," 0.21829763"," 0.23680882","-0.02572549","-0.02267698"," 0.37896257","-0.01714424"," 0.49671484","-0.03825927","-3.44947466","-0.63301875"," 0.21446858"," 0.24028713"," 0.49849385"," 0.39042431"," 0.57878199"," 1.13539229"," 0.57096655","-0.01514631"," 0.50218717"," 0.64727194"," 0.65880335"," 0.24007585"," 0.48386221"," 0.23861149","-0.59929921","-3.46153835"," 0.75436274"," 0.75373293","-3.86792635"," 0.43253525"," 1.10816228"," 0.64606198"," 0.75065570"," 0.57587503"," 0.46989251","-4.21698604"," 0.51056434"," 0.46895955"
"Bin.9.42"," 0.1297732"," 0.1163486"," 0.4930108"," 0.4945187"," 0.3547460","-0.4016119"," 0.5760855","-3.3722813"," 0.4820358"," 0.1243411"," 0.6509590"," 0.3649542","-3.1457590","-3.1622325"," 0.1252873"," 0.6563971"," 0.3523067"," 0.3604828"," 0.6634828"," 0.6425276","-2.9215857","-0.4151569"," 0.3390415"," 0.1344589"," 0.4973491"," 0.5900815"," 0.7231135"," 1.0593451"," 0.8492838"," 0.5898361","-2.9432638"," 0.6643420"," 0.8289193"," 0.9763901"," 0.5787811"," 0.4936488","-2.9459406"," 0.3565699"," 0.8927700"," 0.8189452"," 0.6583824"," 0.5331040"," 1.0450763"," 0.4955484"," 0.9207641"," 0.6606654"," 0.4718963","-3.6046117"," 0.5080908"," 0.6387826"
"Bin.9.38"," 0.39623295","-0.06201347"," 0.27069935","-0.21996751"," 0.08182128","-0.23053913"," 0.25515618"," 0.42729122"," 0.25570692"," 0.17801227","-0.05352282"," 0.27761904","-1.27750010","-0.53419901","-0.54249986","-0.22794274"," 0.07848894","-0.22121591"," 0.54631834"," 0.16406545","-0.55207776","-0.24912866","-0.06865761","-0.21911877"," 0.58750619"," 0.40330222"," 0.50325634"," 0.90642262"," 0.61142742"," 0.19216792","-1.24341299"," 0.09378405"," 0.60053557"," 0.34248847"," 0.25883839"," 0.27157087","-1.23977089"," 0.44801872"," 0.58767636"," 0.45788350"," 0.39652252"," 0.14361564"," 0.93171239"," 0.45601911"," 0.68325120","-0.04026384"," 0.37088275","-5.79762146"," 0.29129931"," 0.30985902"
"Bin.9.34"," 0.10955615"," 0.31407623"," 0.67385132"," 0.54814225"," 0.54178991","-0.39797620"," 0.44562141"," 0.09433893"," 0.66336878"," 0.44885726"," 0.10266972"," 0.62151541","-3.01894454","-2.81733455"," 0.53997427","-2.81412185"," 0.60943514"," 0.67441863"," 0.67648277"," 0.70480818","-0.40541585"," 0.31039344"," 0.59676489","-3.25499478"," 0.46063236"," 0.45898905"," 0.80341250"," 1.14247616"," 0.88698390"," 0.76633131","-2.82553894"," 0.45994092","-3.48357817"," 0.96304534"," 0.71389834"," 0.61728660","-2.82809556"," 0.54353197"," 0.92057873"," 0.92004340"," 0.54446201"," 0.65497117"," 1.19118192"," 0.80342481"," 0.96230293"," 0.54664255"," 0.78083403","-3.40886027"," 0.73659468"," 0.70123133"
"Bin.9.30","-0.06158193"," 0.03752990"," 0.21992066"," 0.31138185","-0.34311700"," 0.41745130"," 0.17105801"," 0.36013946"," 0.17155117"," 0.41529965"," 0.32350770","-0.05225769"," 0.26049588"," 0.14551651","-0.34544223"," 0.17967885"," 0.35052930"," 0.28255569"," 0.10775475"," 0.36049716","-0.35402007"," 0.03281319"," 0.25632757"," 0.22252515"," 0.06238850"," 0.25526864"," 0.36289240"," 0.65724192"," 0.24664728"," 0.42797526","-4.81841185"," 0.25648771"," 0.12135830"," 0.51706475"," 0.27120834"," 0.18575641","-0.32422462"," 0.24800672"," 0.36526319"," 0.36457761"," 0.05421310","-0.08263334"," 0.76257968"," 0.48430731"," 0.46477473"," 0.05700570"," 0.25600145","-5.40264699"," 0.30027522"," 0.43650776"
"Bin.9.26","-0.34425750"," 0.03493903","-1.28782426","-0.33843535"," 0.11325726"," 0.11169855","-0.11668503","-0.55773808"," 0.60149862"," 0.51593235","-0.35458552"," 0.45382102"," 0.42158740"," 0.38239074"," 0.37368617","-0.02085735"," 0.30042769"," 0.05868269"," 0.35287238"," 0.24430498"," 0.29115511","-0.04307064"," 0.24051235"," 0.17905850"," 0.06404538"," 0.12437234"," 0.31490336"," 0.65186854"," 0.34258105"," 0.38717233","-5.91391934"," 0.35410299","-0.18544438"," 0.06061221"," 0.16357332","-0.01374129","-0.32584008","-0.10514247"," 0.45295786"," 0.38936379","-0.01801403","-0.04296625"," 0.85683356","-0.09675450"," 0.55316327","-0.10047805"," 0.19531223","-0.16220742"," 0.24715135"," 0.19412311"
"Bin.9.22","-0.80922734"," 0.18463309","-3.69169631"," 0.39500533"," 0.04573867","-0.21397265"," 0.18986476"," 0.28906975"," 0.38082626","-0.21597031","-0.81738155"," 0.39904634"," 0.18297906"," 0.20169126"," 0.04357950"," 0.19786995"," 0.04296789"," 0.05225487"," 0.31320412","-0.22756511","-3.67573256","-3.66916440","-0.23057239"," 0.52119358"," 0.39822029"," 0.52174845"," 0.75250524"," 0.98989618"," 0.56354134"," 0.52146964","-0.19823626"," 0.46539214"," 0.32583635"," 0.39549751"," 0.38343010"," 0.51949972"," 0.21449070"," 0.51500501"," 0.85475240"," 0.69176948"," 0.45862275"," 0.43883353"," 1.15245075"," 0.65467454"," 0.87232170"," 0.46121597"," 0.62780849","-3.72588170"," 0.62962846"," 0.62686541"
"Bin.9.18"," 0.1230296"," 0.4180573","-0.6496564","-3.2587476"," 0.1203755"," 0.1192584","-0.1196119","-0.6685518"," 0.4846464"," 0.1174528","-0.1179599"," 0.5011122","-3.6095358","-3.4897969"," 0.2550735"," 0.2578588"," 0.3514765"," 0.2629138"," 0.4987406"," 0.1069729","-0.6640203","-0.1282965"," 0.1042548"," 0.5950550"," 0.5523188"," 0.2649911"," 0.8290714"," 1.0118197"," 0.6280177"," 0.6705102"," 0.4422923"," 0.7602095","-3.7386381"," 0.5498582"," 0.5389526"," 0.6687300"," 0.5064877"," 0.2588971"," 1.0074108"," 0.8087343"," 0.5454580"," 0.5370686"," 1.1542587"," 0.8073333"," 0.9193241"," 0.6325016"," 0.7078482","-4.0641080"," 0.6835549"," 0.7069960"
"Bin.9.14"," 0.57974409"," 0.72892392"," 1.33049399","-0.08489525"," 0.03552782","-0.22724276","-0.04793984"," 0.25319202","-1.02378636"," 0.34465768","-0.19555769"," 0.82359953","-0.19239074"," 1.11285894","-0.17151746"," 0.66494810","-0.33826211","-0.69073820"," 0.25762686"," 0.90264740","-0.57305915","-0.73176453","-0.21780237"," 0.37326679"," 0.11861286","-1.06594795","-0.02002646","-0.12812420"," 0.98678200","-0.34224890","-0.43739872","-0.36463314","-0.97389146"," 0.33907732"," 0.29119924"," 0.85934928"," 0.62889906","-1.00841508"," 0.60561016"," 0.28880444"," 0.26677591","-0.61143401"," 0.72853108","-0.50758053"," 0.08736157","-0.27768439"," 0.30991004","-2.07167803","-0.05764597","-0.55673482"
"Bin.9.10"," 0.082337114","-0.165908236"," 0.297319059","-0.636247214"," 0.317548883","-0.083182943","-0.159596137","-0.481222719","-0.029601920"," 0.226286588"," 0.025047760"," 0.587102666","-0.249938694"," 0.593590171"," 0.227583527"," 0.413740508","-0.236429059","-0.225223905"," 0.089617390"," 0.212294839"," 0.019171223","-0.665502109"," 0.100155392"," 0.552035404"," 0.274225377","-0.140415596"," 0.423135159"," 0.560545334"," 0.492053707","-0.635062699","-0.315990666"," 0.208845252"," 0.004455308"," 0.639137976"," 0.225337672","-0.073769050","-0.129884518"," 0.081293151"," 0.466723941"," 0.329944966"," 0.082627619","-0.089057755"," 0.958289532"," 0.132203906"," 0.581755738"," 0.203806686"," 0.450821179","-6.231831777"," 0.395309112"," 0.294522854"
"Bin.9.06","-0.27801214","-0.14853468"," 0.14396232","-1.68167918","-0.50522743"," 0.56949460","-0.08389594","-0.04179269","-0.14185156"," 0.61455090"," 0.58911765","-0.12045019"," 0.35114937"," 0.39260133","-0.07811309"," 0.64134094","-0.13732505","-0.19394188","-0.12353274"," 0.67324262","-0.69472890","-1.00604716"," 0.25869864"," 0.45043759","-0.06292693","-0.27110768"," 0.41590232"," 0.56086428"," 0.44168568"," 0.11206455"," 0.11907282"," 0.23974136","-0.10869484"," 0.88403296"," 0.48384722"," 0.43126726","-0.18098916","-0.02154836"," 0.50138609"," 0.37962494"," 0.06765490","-0.14124186"," 0.76284892"," 0.26486146"," 0.55358609","-0.01720317"," 0.40224478","-6.07544703"," 0.48424886"," 0.32476120"
"Bin.9.02"," 0.306506283"," 0.528542414","-0.008976709","-0.139287664","-0.467677663","-0.469203472","-0.086396096","-0.673030556","-0.024364018"," 0.203308787","-0.341739260"," 0.677512500"," 0.153214441"," 0.387842760"," 0.379321775","-0.334115117"," 0.237993936","-0.327210904"," 0.252487366","-0.034493477","-0.028684407","-1.415502540","-0.254556601","-0.457482061"," 0.143695655"," 0.048911024"," 0.602991700"," 0.638863219"," 0.382985979","-0.643779112","-0.130711323"," 0.315159017"," 0.432263705"," 0.415530402"," 0.644893631"," 0.249519129"," 0.005467198"," 0.209857992"," 0.620802844"," 0.482615071"," 0.277095196","-0.085190157"," 0.856088678"," 0.283941076"," 0.685009928"," 0.093652960"," 0.148063007","-5.815331136"," 0.588835914"," 0.484758687"
"Bin.8.98","-1.048307778","-0.325581007","-0.107938699","-0.103822574","-1.055366011"," 0.255847779","-0.313008097"," 0.150640918"," 0.340766979"," 0.491474415","-0.083376736","-0.148445273"," 0.291668347"," 0.035079078","-0.181500790","-0.509908049"," 0.318577925"," 0.039338202","-0.049190528","-0.106392276","-0.386737646","-0.474262381"," 0.066227816"," 0.168788921","-0.336524534","-0.100793041"," 0.665833055"," 0.693981655"," 0.111043512","-0.001778513","-0.562693040"," 0.468817870","-0.018832665"," 0.278156443"," 0.139275223","-0.280207001","-0.649812981"," 0.392049760"," 0.551447882"," 0.441149751","-0.226516597","-0.568491353"," 0.900779531"," 0.546192376"," 0.806653104","-0.420274073","-0.019920498","-1.322551427"," 0.605677786"," 0.642765239"
"Bin.8.94","-0.92526843","-0.05146310","-0.02913142","-0.28372317","-0.19065836","-0.93040053"," 0.01622356","-0.31166562"," 0.30513403"," 0.20694655","-0.19712079"," 0.29589708","-0.62813945","-0.03048146"," 0.07630696","-0.92774545"," 0.07555465","-0.28500002"," 0.18204638","-0.05455885","-0.11947991","-0.94941016","-0.12896826","-0.09686648"," 0.22417099"," 0.08980539"," 0.69935994"," 0.81996306"," 0.21192011"," 0.25814042","-0.01847840"," 0.54111136"," 0.49419666"," 0.40681184"," 0.36575001"," 0.25571744"," 0.14887110"," 0.34543471"," 0.68837401"," 0.62832054"," 0.25154945"," 0.02688348"," 0.90289527"," 0.61031709"," 0.81572699"," 0.25473908"," 0.34838115","-5.75391043"," 0.74312027"," 0.62280071"
"Bin.8.90","-0.92185872","-0.18796778","-0.41273922","-0.05911993","-0.81979912"," 0.25106035","-0.22299857","-0.06896896"," 0.36452882"," 0.45980558","-0.08701587"," 0.06319801"," 0.24996350"," 0.17850939","-0.08027563","-0.30722337"," 0.27435036"," 0.05213621"," 0.02137799","-0.14953502","-0.22962441","-0.46182032","-0.03701204"," 0.18616717","-0.09377934","-0.14194999"," 0.65446603"," 0.45060156","-0.30747045"," 0.12425934","-0.60697275"," 0.44575526"," 0.24476578"," 0.27127762"," 0.21746051"," 0.08681274","-0.68592536"," 0.11018004"," 0.58858860"," 0.37778885","-0.20065263","-0.37856746"," 0.90054304"," 0.54604143"," 0.80480531","-0.35270159"," 0.06615684","-2.42151251"," 0.65095816"," 0.59393257"
"Bin.8.86"," 0.39895080"," 0.68451070"," 1.29633377","-0.16644399","-0.22830783","-0.48733127","-0.13462159"," 0.19875800","-1.05349521"," 0.27046192","-0.25477658"," 0.59222788","-0.28808895"," 1.00294733","-0.39948339"," 0.55657701","-0.32131629","-0.69665332"," 0.14244697"," 0.88244215","-0.91607511","-0.80916672","-0.33083731"," 0.27570553"," 0.03893927","-1.20665676"," 0.19896410","-0.17634622"," 0.91151224","-0.28181497","-0.48240171","-0.26118774","-0.25752784"," 0.29935097"," 0.30773383"," 0.91579446"," 0.52618708","-0.48118301"," 0.66032873"," 0.38513308"," 0.18868271","-0.58101743"," 0.84838512","-0.24591187"," 0.32094633","-0.21758155"," 0.24275400","-1.98316789"," 0.28654266","-0.17122208"
"Bin.8.82"," 0.54659028"," 0.56910899"," 1.22345846","-0.39525220"," 0.26690275","-0.33263408","-0.12222786"," 0.11943286","-0.80202030"," 0.29156675","-0.50799768"," 0.97994610","-0.33778478"," 1.14147829","-0.14070476"," 0.59844802","-0.43554969","-0.58855194"," 0.20911364"," 0.78796615","-0.51700071","-0.63145448","-0.29255973"," 0.51299284"," 0.19476140","-1.03507639"," 0.05262454","-0.25546997"," 0.90936551","-0.39343741","-0.66190973","-0.17702936","-0.39049606"," 0.39693235"," 0.15841214"," 0.59910175"," 0.58919764","-0.65424527"," 0.43459573"," 0.16645183"," 0.22409754","-0.62580872"," 0.82064164","-0.41430230"," 0.16995522","-0.15477283"," 0.34852543","-2.26765882"," 0.10052862","-0.27825140"
"Bin.8.78"," 0.59582206"," 0.59964974"," 0.56792069","-2.28668858","-0.32125284","-0.26429738","-0.74665037","-1.03731201","-0.33334072","-0.32715433","-0.16672949","-0.13598377","-0.41159936","-0.44915222"," 0.23348382"," 0.23910771","-0.26709777","-1.19351789","-0.36974142"," 0.54700190","-0.08474913","-1.23586975"," 0.20487281","-0.61375524","-0.13749108","-0.30516771"," 0.62236762"," 0.65643250"," 0.46786993"," 0.19625908","-0.83133260"," 0.35657435"," 0.62988299"," 0.91272153"," 0.49687170"," 0.09755662","-0.03426196"," 0.15421362"," 0.59397389"," 0.35717135"," 0.12457502","-0.01643402"," 1.20331272"," 0.30571480"," 0.76183413"," 0.02440744","-0.05812287","-0.55578042"," 0.76450105"," 0.46938389"
"Bin.8.74","-0.09514551","-0.36782677"," 0.05837235","-4.08017804","-0.20494000","-0.61426296"," 0.10276321"," 0.03744890"," 0.36071490","-0.10129273","-0.10330474"," 0.06410378","-4.05874264","-0.20021433"," 0.15727252","-0.09715188"," 0.30728849","-0.09158002"," 0.21211468"," 0.03777976","-0.21502530"," 0.09318885"," 0.03478359","-4.67873747"," 0.37804145"," 0.31882959"," 0.80974092"," 0.73056666"," 0.58351563"," 0.77498647"," 0.21762484"," 0.66034831"," 0.70736599"," 0.60529493"," 0.49580912"," 0.48730034"," 0.32752432"," 0.53728453"," 0.70780501"," 0.68464951"," 0.39610924"," 0.21060664"," 0.95752391"," 0.63349994"," 0.88274805"," 0.42266768"," 0.48174280","-1.17040101"," 0.86308710"," 0.73829938"
"Bin.8.70","-0.19020014"," 0.07163123"," 0.19649467","-0.55304760","-0.19336154","-1.48593265"," 0.15045160"," 0.02626992"," 0.24052058","-0.12365423","-0.40407422"," 0.05507312","-4.56281793","-0.27783028"," 0.04026745","-0.19236822"," 0.18722398","-0.18634727"," 0.16773183"," 0.23168701","-0.29383509"," 0.32457470","-0.02389152","-5.02772372"," 0.28515113"," 0.25713991"," 0.70686304"," 0.68204096"," 0.40226631"," 0.39190921"," 0.28916971"," 0.57486741"," 0.66463779"," 0.57282174"," 0.44838312"," 0.37020305"," 0.29244297"," 0.59001051"," 0.67271412"," 0.64227981"," 0.38614126"," 0.14019469"," 0.86368082"," 0.50759501"," 0.79126947"," 0.32705218"," 0.36319277","-0.79631671"," 0.74757576"," 0.64987229"
"Bin.8.66","-0.13080933","-0.16350534","-0.07888350","-0.83031472","-0.56134668","-0.48779575","-0.36676834","-1.14802817"," 0.12439482","-0.35851830","-0.65684685","-0.21231581","-0.67552854","-0.17540495","-0.01179979"," 0.14057505"," 0.22682480","-0.72578118","-0.07217453","-0.26896992","-0.15881157","-0.59713600","-0.17534942","-1.50621658"," 0.22567934"," 0.12346813"," 0.77543942"," 0.64594807"," 0.26357645"," 0.25106555","-0.38448790"," 0.46157128"," 0.48656034"," 0.69319147"," 0.40845081"," 0.11864727"," 0.03044003"," 0.34765880"," 0.59013881"," 0.50670120"," 0.11138263","-0.30542396"," 1.12961224"," 0.38730364"," 0.89975130"," 0.24513717"," 0.19387224","-0.76068808"," 0.79048828"," 0.63502607"
